iter	Logloss
0	0.6615600392
1	0.6354111782
2	0.6086077684
3	0.589602878
4	0.5697168896
5	0.5509078149
6	0.535173893
7	0.5222915205
8	0.5095032748
9	0.4983239514
10	0.4908094086
11	0.4827536102
12	0.4760494003
13	0.4698367793
14	0.4614864518
15	0.4546609741
16	0.4477582851
17	0.4412576366
18	0.4369305149
19	0.4337940162
20	0.4283268227
21	0.4244550057
22	0.4210205252
23	0.4184629449
24	0.4153433231
25	0.4133831014
26	0.4107470012
27	0.406848169
28	0.4042153722
29	0.4016064694
30	0.3995068508
31	0.3981215131
32	0.396647793
33	0.3953137668
34	0.3927210695
35	0.3920550724
36	0.390191911
37	0.3884534349
38	0.3874364073
39	0.3865027387
40	0.38524519
41	0.3834288687
42	0.3822335715
43	0.3811309121
44	0.3804192495
45	0.3788740759
46	0.3779214908
47	0.3764565494
48	0.3758662571
49	0.3753646017
50	0.3740420887
51	0.3733888585
52	0.3726522144
53	0.3716859487
54	0.3710918164
55	0.3706852855
56	0.370191855
57	0.3700862711
58	0.3698561322
59	0.3690345681
60	0.3677951334
61	0.3673011936
62	0.366750225
63	0.3657958791
64	0.3650231016
65	0.3645020146
66	0.3634239319
67	0.3631754485
68	0.3624946381
69	0.3617797654
70	0.3609541945
71	0.3601641509
72	0.3597036107
73	0.3594469227
74	0.358677328
75	0.3585494721
76	0.3576612567
77	0.3575014644
78	0.3571448544
79	0.3562517999
80	0.3552552009
81	0.3549583006
82	0.3548415041
83	0.3542342364
84	0.3538710871
85	0.3533948271
86	0.3527585749
87	0.3520526444
88	0.3509849601
89	0.3508485914
90	0.3504197332
91	0.350205029
92	0.3497886248
93	0.3492502627
94	0.3488907903
95	0.3488768146
96	0.3479344635
97	0.3475524242
98	0.3471372084
99	0.3466032114
100	0.3464601664
101	0.3458332203
102	0.3455384342
103	0.345409681
104	0.3450631638
105	0.344818034
106	0.344427648
107	0.3437187121
108	0.3430861318
109	0.3425741922
110	0.342264689
111	0.3417669459
112	0.3415293531
113	0.340695329
114	0.3405300459
115	0.340336017
116	0.3400532463
117	0.3394649161
118	0.3390563422
119	0.338726224
120	0.3384131516
121	0.3376177849
122	0.337153341
123	0.3369478645
124	0.3366972679
125	0.3363448938
126	0.3354005897
127	0.3350754762
128	0.3345677097
129	0.3336622133
130	0.3333017718
131	0.3327325554
132	0.3326021252
133	0.3323017834
134	0.3322235029
135	0.3318663583
136	0.3313046382
137	0.3312664025
138	0.3305877116
139	0.3301316277
140	0.329957387
141	0.3297227519
142	0.3291380123
143	0.3283004401
144	0.3277817918
145	0.3274861775
146	0.3271102148
147	0.3260483259
148	0.3259959371
149	0.3258372238
150	0.3251641681
151	0.3249184011
152	0.3246078331
153	0.3237779839
154	0.3233201803
155	0.3227151902
156	0.3225715053
157	0.3222669923
158	0.3219718087
159	0.3217091194
160	0.3213345119
161	0.3202836617
162	0.3199803468
163	0.3192864099
164	0.3188986208
165	0.3181160365
166	0.317690988
167	0.3174269711
168	0.3170374576
169	0.3166350462
170	0.316461098
171	0.3160936765
172	0.3159337999
173	0.3155517643
174	0.315253099
175	0.3148202584
176	0.3145568816
177	0.3141436114
178	0.3135403873
179	0.3128629394
180	0.3127076505
181	0.3123390203
182	0.3117966465
183	0.3112807046
184	0.3110279201
185	0.3099015449
186	0.3096086512
187	0.3089956631
188	0.3087604514
189	0.3083619634
190	0.3078235112
191	0.3075981774
192	0.3072327391
193	0.3069946213
194	0.3063970979
195	0.3061445778
196	0.3054276368
197	0.30493706
198	0.3044877082
199	0.3040753255
200	0.3037365453
201	0.3034264354
202	0.3033795898
203	0.3031924947
204	0.3026519817
205	0.30234258
206	0.3021816126
207	0.30154776
208	0.3013403589
209	0.3010722565
210	0.3005335346
211	0.2999508979
212	0.2993770614
213	0.2988222496
214	0.2986618303
215	0.2982013817
216	0.2979666364
217	0.2977092649
218	0.2969921512
219	0.2967071718
220	0.296394162
221	0.2961525043
222	0.2957488951
223	0.2956514425
224	0.2953708968
225	0.2951625017
226	0.2949838477
227	0.2947183338
228	0.2941986258
229	0.2935103182
230	0.2928613544
231	0.2926740323
232	0.2919954919
233	0.2918405416
234	0.2907743661
235	0.2905435096
236	0.2903713115
237	0.2902696932
238	0.2899166973
239	0.2891953344
240	0.2888699283
241	0.2877716678
242	0.2875728767
243	0.2873612847
244	0.2871302578
245	0.2864733181
246	0.285985743
247	0.285173128
248	0.284709946
249	0.2845547779
250	0.2843702353
251	0.2838242177
252	0.2836293041
253	0.283195536
254	0.2830374781
255	0.2820775463
256	0.2820071674
257	0.2818720241
258	0.28138423
259	0.2804484222
260	0.2802796104
261	0.2794068741
262	0.279268177
263	0.2791019574
264	0.2782994969
265	0.2781108841
266	0.2773904615
267	0.2771215897
268	0.276633493
269	0.2759661872
270	0.2757664928
271	0.2748044043
272	0.2746604665
273	0.2742501868
274	0.2736215107
275	0.2732920384
276	0.272599708
277	0.2724395651
278	0.2718005046
279	0.2711228615
280	0.2707907265
281	0.2699714309
282	0.2692947757
283	0.2691436924
284	0.2683720785
285	0.2682413485
286	0.2680444439
287	0.2673018241
288	0.2668491275
289	0.2665238398
290	0.2663787401
291	0.265910127
292	0.2653522919
293	0.264658049
294	0.2640912035
295	0.2637095306
296	0.2633554193
297	0.2626805885
298	0.2624613789
299	0.2618880348
300	0.2613082882
301	0.2607871202
302	0.2604198734
303	0.2600002918
304	0.2597692823
305	0.259306109
306	0.2589959494
307	0.2588114971
308	0.2585434084
309	0.2580861288
310	0.2579896395
311	0.2578500633
312	0.2574751284
313	0.257377376
314	0.2571969143
315	0.2568424671
316	0.25650994
317	0.2561191761
318	0.2558671531
319	0.2557588132
320	0.2555933635
321	0.2551261198
322	0.2547106779
323	0.2545897089
324	0.254171143
325	0.2540045992
326	0.2538897622
327	0.2534642602
328	0.2533354412
329	0.2532356921
330	0.2531430112
331	0.2527994383
332	0.252225551
333	0.2518036597
334	0.2515356648
335	0.2511609555
336	0.2510807609
337	0.2510360158
338	0.2508068134
339	0.2504485534
340	0.2500247823
341	0.2498489804
342	0.2497376622
343	0.2496411208
344	0.2489336321
345	0.2486806458
346	0.248471591
347	0.2479830904
348	0.2478804914
349	0.2473958349
