iter	Passed	Remaining
0	8	1691
1	10	1008
2	11	780
3	14	687
4	15	618
5	17	550
6	18	502
7	19	465
8	20	434
9	21	409
10	22	390
11	24	379
12	25	371
13	27	361
14	29	358
15	31	363
16	32	353
17	34	344
18	35	335
19	36	327
20	37	318
21	38	313
22	40	308
23	41	302
24	42	298
25	43	293
26	44	288
27	46	287
28	48	285
29	49	282
30	51	278
31	52	274
32	53	270
33	54	268
34	56	264
35	57	260
36	58	258
37	60	256
38	61	253
39	63	252
40	64	249
41	65	246
42	66	243
43	67	240
44	69	237
45	70	235
46	71	232
47	72	229
48	73	227
49	75	226
50	77	225
51	78	224
52	80	224
53	82	222
54	83	219
55	84	217
56	85	215
57	86	212
58	88	210
59	89	208
60	90	205
61	91	204
62	93	202
63	94	201
64	96	199
65	97	197
66	98	195
67	99	193
68	100	191
69	101	189
70	103	187
71	104	185
72	105	182
73	106	180
74	107	179
75	109	178
76	110	176
77	112	175
78	113	173
79	114	171
80	115	169
81	117	168
82	118	166
83	119	165
84	120	163
85	121	161
86	122	159
87	124	158
88	125	156
89	127	155
90	128	154
91	130	153
92	132	152
93	133	150
94	134	149
95	136	147
96	137	146
97	138	144
98	140	143
99	141	141
100	142	139
101	144	138
102	146	137
103	148	137
104	151	136
105	154	136
106	156	135
107	157	134
108	159	132
109	160	131
110	163	131
111	167	131
112	168	130
113	170	128
114	171	126
115	173	125
116	174	123
117	175	122
118	177	120
119	179	119
120	180	117
121	181	116
122	182	114
123	184	112
124	185	111
125	186	109
126	187	107
127	188	106
128	190	104
129	191	103
130	193	101
131	194	100
132	195	98
133	196	96
134	197	95
135	199	93
136	200	92
137	201	90
138	202	88
139	203	87
140	204	85
141	206	84
142	207	82
143	208	81
144	210	79
145	211	78
146	212	76
147	213	75
148	214	73
149	215	71
150	216	70
151	217	68
152	219	67
153	220	65
154	221	64
155	222	62
156	224	61
157	225	59
158	226	58
159	228	57
160	229	55
161	230	53
162	231	52
163	232	50
164	233	49
165	234	47
166	235	46
167	236	45
168	237	43
169	239	42
170	240	40
171	241	39
172	243	37
173	244	36
174	245	35
175	246	33
176	247	32
177	248	30
178	249	29
179	250	27
180	252	26
181	253	25
182	254	23
183	256	22
184	257	20
185	259	19
186	260	18
187	261	16
188	263	15
189	264	13
190	265	12
191	266	11
192	267	9
193	268	8
194	269	6
195	271	5
196	272	4
197	273	2
198	275	1
199	276	0
