iter	Passed	Remaining
0	100	100726
1	124	62036
2	149	49720
3	174	43386
4	208	41455
5	242	40096
6	265	37727
7	288	35747
8	312	34369
9	334	33163
10	358	32272
11	382	31489
12	433	32893
13	466	32853
14	495	32550
15	523	32170
16	548	31738
17	573	31311
18	602	31095
19	630	30904
20	653	30456
21	677	30117
22	707	30062
23	730	29699
24	755	29462
25	784	29387
26	808	29139
27	839	29130
28	871	29164
29	897	29031
30	920	28782
31	944	28564
32	969	28398
33	1005	28579
34	1041	28707
35	1067	28575
36	1090	28391
37	1112	28156
38	1134	27963
39	1157	27770
40	1185	27740
41	1210	27608
42	1239	27591
43	1276	27732
44	1303	27654
45	1327	27524
46	1360	27584
47	1394	27655
48	1471	28565
49	1500	28509
50	1526	28399
51	1550	28264
52	1573	28115
53	1598	27996
54	1630	28017
55	1659	27968
56	1687	27916
57	1710	27780
58	1733	27655
59	1758	27552
60	1783	27453
61	1807	27350
62	1831	27239
63	1855	27134
64	1880	27057
65	1911	27052
66	1936	26961
67	1960	26866
68	1985	26790
69	2011	26726
70	2042	26730
71	2073	26723
72	2100	26677
73	2125	26597
74	2151	26530
75	2175	26447
76	2195	26320
77	2231	26373
78	2267	26430
79	2298	26437
80	2326	26391
81	2352	26339
82	2376	26253
83	2403	26207
84	2447	26349
85	2482	26381
86	2514	26390
87	2538	26311
88	2564	26247
89	2590	26190
90	2617	26148
91	2640	26065
92	2663	25975
93	2686	25897
94	2714	25858
95	2737	25779
96	2762	25717
97	2786	25648
98	2810	25575
99	2838	25548
100	2872	25569
101	2899	25523
102	2928	25505
103	2956	25467
104	2983	25427
105	3012	25406
106	3040	25375
107	3073	25384
108	3104	25374
109	3133	25350
110	3160	25313
111	3185	25256
112	3214	25228
113	3242	25199
114	3273	25194
115	3304	25180
116	3327	25112
117	3351	25048
118	3377	25004
119	3407	24986
120	3437	24972
121	3461	24913
122	3489	24883
123	3514	24825
124	3537	24763
125	3562	24709
126	3586	24650
127	3613	24614
128	3648	24634
129	3675	24596
130	3699	24539
131	3724	24491
132	3749	24441
133	3775	24400
134	3799	24348
135	3829	24326
136	3859	24309
137	3889	24293
138	3980	24657
139	4023	24714
140	4053	24693
141	4081	24662
142	4107	24614
143	4132	24566
144	4161	24538
145	4193	24529
146	4229	24544
147	4259	24520
148	4284	24472
149	4308	24414
150	4333	24362
151	4358	24315
152	4383	24266
153	4412	24238
154	4439	24203
155	4468	24174
156	4497	24149
157	4523	24106
158	4547	24052
159	4570	23996
160	4595	23946
161	4619	23896
162	4647	23863
163	4674	23829
164	4699	23782
165	4724	23738
166	4749	23689
167	4773	23639
168	4796	23585
169	4818	23525
170	4843	23482
171	4872	23457
172	4900	23426
173	4926	23388
174	4951	23344
175	4974	23291
176	5003	23262
177	5038	23265
178	5065	23231
179	5094	23208
180	5124	23185
181	5148	23141
182	5173	23095
183	5196	23045
184	5222	23008
185	5250	22976
186	5275	22934
187	5297	22882
188	5324	22846
189	5349	22805
190	5373	22760
191	5398	22717
192	5427	22695
193	5458	22677
194	5486	22651
195	5514	22622
196	5542	22593
197	5576	22589
198	5601	22545
199	5627	22510
200	5658	22493
201	5682	22450
202	5708	22414
203	5733	22371
204	5760	22341
205	5789	22314
206	5815	22278
207	5848	22270
208	5879	22252
209	5906	22220
210	5932	22184
211	5956	22138
212	5983	22106
213	6008	22067
214	6032	22024
215	6060	21999
216	6090	21976
217	6117	21943
218	6141	21901
219	6170	21878
220	6196	21842
221	6222	21806
222	6250	21780
223	6279	21754
224	6303	21711
225	6326	21667
226	6349	21623
227	6376	21592
228	6404	21563
229	6430	21526
230	6461	21508
231	6483	21463
232	6506	21418
233	6531	21380
234	6555	21339
235	6581	21305
236	6603	21259
237	6628	21221
238	6658	21202
239	6683	21164
240	6708	21127
241	6732	21088
242	6755	21044
243	6781	21011
244	6805	20971
245	6832	20940
246	6868	20938
247	6893	20903
248	6918	20865
249	6944	20834
250	6970	20801
251	6995	20765
252	7021	20730
253	7053	20716
254	7086	20702
255	7114	20677
256	7142	20650
257	7166	20611
258	7189	20569
259	7213	20530
260	7242	20506
261	7269	20475
262	7297	20449
263	7323	20417
264	7349	20384
265	7376	20354
266	7400	20317
267	7432	20301
268	7460	20272
269	7486	20240
270	7509	20201
271	7537	20174
272	7562	20137
273	7587	20105
274	7612	20070
275	7636	20031
276	7664	20004
277	7692	19978
278	7719	19947
279	7744	19915
280	7769	19879
281	7793	19844
282	7820	19813
283	7848	19786
284	7872	19750
285	7895	19710
286	7922	19682
287	7946	19645
288	7969	19606
289	7991	19565
290	8015	19529
291	8043	19501
292	8071	19475
293	8098	19448
294	8125	19419
295	8149	19383
296	8174	19348
297	8198	19314
298	8221	19275
299	8248	19247
300	8275	19216
301	8298	19180
302	8325	19150
303	8349	19114
304	8372	19078
305	8399	19049
306	8423	19014
307	8448	18981
308	8473	18949
309	8496	18912
310	8519	18875
311	8545	18844
312	8570	18811
313	8593	18773
314	8613	18730
315	8637	18695
316	8665	18670
317	8694	18646
318	8717	18610
319	8742	18577
320	8769	18549
321	8795	18520
322	8823	18494
323	8847	18460
324	8873	18429
325	8896	18394
326	8920	18359
327	8945	18327
328	8971	18298
329	8997	18266
330	9021	18234
331	9052	18214
332	9080	18188
333	9109	18165
334	9137	18138
335	9162	18107
336	9185	18071
337	9210	18039
338	9237	18011
339	9267	17990
340	9291	17956
341	9314	17921
342	9338	17886
343	9363	17855
344	9389	17826
345	9416	17798
346	9440	17764
347	9464	17731
348	9487	17697
349	9510	17662
350	9534	17629
351	9560	17599
352	9585	17568
353	9612	17541
354	9644	17523
355	9684	17519
356	9719	17506
357	9752	17489
358	9787	17475
359	9810	17441
360	9844	17425
361	9872	17398
362	9899	17371
363	9923	17338
364	9948	17306
365	9972	17274
366	9997	17243
367	10022	17212
368	10060	17203
369	10088	17178
370	10114	17148
371	10138	17115
372	10162	17083
373	10189	17055
374	10215	17025
375	10239	16993
376	10271	16974
377	10299	16947
378	10323	16914
379	10346	16880
380	10370	16848
381	10399	16823
382	10423	16792
383	10454	16770
384	10479	16740
385	10503	16707
386	10528	16676
387	10551	16643
388	10576	16612
389	10601	16581
390	10626	16551
391	10651	16520
392	10676	16490
393	10703	16462
394	10731	16436
395	10753	16402
396	10778	16372
397	10803	16341
398	10825	16306
399	10851	16276
400	10893	16272
401	10949	16288
402	10977	16261
403	11001	16229
404	11034	16211
405	11065	16189
406	11097	16169
407	11128	16147
408	11159	16125
409	11199	16117
410	11239	16106
411	11283	16103
412	11321	16090
413	11361	16082
414	11415	16091
415	11462	16091
416	11507	16088
417	11544	16073
418	11591	16073
419	11617	16043
420	11645	16016
421	11671	15985
422	11699	15958
423	11726	15929
424	11759	15910
425	11797	15896
426	11827	15872
427	11855	15843
428	11883	15817
429	11910	15788
430	11937	15759
431	11964	15731
432	11994	15706
433	12022	15678
434	12048	15649
435	12078	15624
436	12111	15603
437	12145	15583
438	12176	15560
439	12203	15531
440	12233	15506
441	12272	15493
442	12304	15470
443	12341	15455
444	12370	15428
445	12399	15401
446	12425	15372
447	12456	15348
448	12486	15322
449	12517	15298
450	12551	15278
451	12584	15257
452	12611	15228
453	12642	15204
454	12676	15184
455	12705	15157
456	12731	15126
457	12759	15099
458	12785	15069
459	12814	15042
460	12842	15015
461	12873	14991
462	12900	14962
463	12928	14934
464	12957	14907
465	12986	14881
466	13011	14850
467	13038	14821
468	13067	14795
469	13094	14766
470	13132	14749
471	13158	14719
472	13185	14691
473	13217	14667
474	13244	14638
475	13273	14611
476	13298	14580
477	13324	14550
